<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LAB,D,20140304,000000,2.35371,2.82453,2.35371,2.82453,1251.5413534020001,0
LAB,D,20140305,000000,3.38943,4.04842,3.38943,3.59652,20740.263158202,0
LAB,D,20140306,000000,3.72833,4.4156,3.72833,4.04842,6746.954887318,0
LAB,D,20140307,000000,4.08606,4.08606,3.29515,3.85079,3753.609022612,0
LAB,D,20140310,000000,3.58706,3.76597,3.48361,3.76597,2537.593985,0
LAB,D,20140311,000000,3.5777,3.5777,3.5777,3.5777,232.44360902600002,0
LAB,D,20140312,000000,3.51189,3.54943,3.31416,3.54943,2971.015037638,0
LAB,D,20140313,000000,3.48361,3.73769,3.48361,3.73769,398.909774442,0
LAB,D,20140314,000000,3.64351,3.86015,3.64351,3.67188,939.9248120440001,0
LAB,D,20140317,000000,3.71888,3.71888,3.67188,3.67188,1307.368421072,0
LAB,D,20140318,000000,3.67188,3.68134,3.67188,3.68134,38.571428572,0
LAB,D,20140319,000000,3.64351,3.64351,3.64351,3.64351,3.0451127820000004,0
LAB,D,20140320,000000,3.76597,4.13325,3.76597,4.13325,1200.7894737020001,0
LAB,D,20140321,000000,4.14261,4.14261,3.71888,3.95424,754.1729323420001,0
LAB,D,20140324,000000,3.70942,3.75661,3.70942,3.75661,126.87969925,0
LAB,D,20140325,000000,3.8037,3.98251,3.76597,3.86015,2223.9473684540003,0
LAB,D,20140326,000000,3.86015,3.86015,3.86015,3.86015,25.37593985,0
LAB,D,20140327,000000,3.86015,3.86015,3.86015,3.86015,15.22556391,0
LAB,D,20140328,000000,3.86015,3.95424,3.86015,3.95424,20.30075188,0
LAB,D,20140331,000000,3.86961,3.86961,3.86961,3.86961,16.240601504,0
LAB,D,20140401,000000,3.87897,4.1897,3.64351,4.1897,5149.285714362,0
LAB,D,20140402,000000,4.0766,4.1897,4.0766,4.1897,3907.8947369,0
LAB,D,20140403,000000,4.4156,5.29123,4.34023,5.19705,2310.225563944,0
LAB,D,20140404,000000,5.07459,6.22332,5.07459,6.22332,2366.052631614,0
LAB,D,20140407,000000,6.58104,6.58104,5.27232,5.9315,1821.99248123,0
LAB,D,20140408,000000,6.02559,6.11977,5.4796,5.4796,395.86466166,0
LAB,D,20140410,000000,5.71486,6.38331,5.64905,5.64905,1541.842105286,0
LAB,D,20140411,000000,5.50768,5.50768,5.47014,5.47014,53.796992482,0
LAB,D,20140414,000000,5.46059,5.66787,4.89578,5.66787,1587.518797016,0
LAB,D,20140415,000000,6.11041,6.11041,5.60196,5.60196,31.466165414000002,0
LAB,D,20140416,000000,5.74324,5.83732,5.74324,5.83732,310.60150376400003,0
LAB,D,20140417,000000,5.95022,6.58104,5.95022,6.58104,503.45864662400004,0
LAB,D,20140422,000000,6.56222,6.56222,5.87495,5.87495,1472.819548894,0
LAB,D,20140423,000000,5.83732,5.91259,5.41359,5.91259,1664.6616541600001,0
LAB,D,20140424,000000,5.64905,6.2045,5.41359,6.2045,1938.72180454,0
LAB,D,20140425,000000,6.19504,6.19504,6.19504,6.19504,10.15037594,0
LAB,D,20140428,000000,6.06322,6.06322,6.06322,6.06322,10.15037594,0
LAB,D,20140429,000000,5.65841,5.65841,5.65841,5.65841,15.22556391,0
LAB,D,20140430,000000,5.90313,5.90313,5.90313,5.90313,10.15037594,0
LAB,D,20140502,000000,5.90313,5.90313,5.90313,5.90313,10.15037594,0
LAB,D,20140505,000000,5.90313,5.90313,5.90313,5.90313,10.15037594,0
LAB,D,20140506,000000,5.90313,5.90313,5.90313,5.90313,10.15037594,0
LAB,D,20140507,000000,5.90313,5.90313,5.27232,5.8656,1603.75939852,0
LAB,D,20140509,000000,5.27232,5.8656,4.77342,5.8656,1307.368421072,0
LAB,D,20140512,000000,5.50768,5.6395,4.95223,4.95223,2141.72932334,0
LAB,D,20140513,000000,5.54541,5.54541,5.54541,5.54541,10.15037594,0
LAB,D,20140519,000000,4.94297,4.94297,4.84879,4.84879,347.142857148,0
LAB,D,20140520,000000,4.70741,5.08405,4.42506,5.08405,1854.473684238,0
LAB,D,20140521,000000,5.08405,5.64905,4.28378,5.64905,1609.849624084,0
LAB,D,20140522,000000,5.64905,5.64905,5.64905,5.64905,10.15037594,0
LAB,D,20140523,000000,5.64905,5.64905,4.70741,5.55487,338.007518802,0
LAB,D,20140526,000000,5.27232,5.27232,4.90514,5.27232,401.954887224,0
LAB,D,20140527,000000,4.8016,5.22532,4.56633,5.22532,51.766917294,0
LAB,D,20140530,000000,4.66042,5.19705,4.34969,5.19705,403.984962412,0
LAB,D,20140603,000000,4.74524,5.19705,4.74524,5.19705,322.781954892,0
LAB,D,20140605,000000,5.22532,5.22532,5.22532,5.22532,10.15037594,0
LAB,D,20140606,000000,5.14996,5.55487,5.14996,5.55487,1008.947368436,0
LAB,D,20140609,000000,5.46059,5.46059,5.41359,5.41359,15.22556391,0
LAB,D,20140610,000000,5.41359,5.41359,5.17823,5.17823,20.30075188,0
LAB,D,20140612,000000,5.03705,5.21587,4.79224,5.21587,394.849624066,0
LAB,D,20140613,000000,4.79224,5.55487,4.70741,5.55487,3606.4285714820003,0
LAB,D,20140616,000000,4.98996,5.55487,4.98996,5.55487,1350.00000002,0
LAB,D,20140618,000000,5.55487,5.55487,5.55487,5.55487,10.15037594,0
LAB,D,20140620,000000,5.55487,5.55487,5.55487,5.55487,10.15037594,0
LAB,D,20140623,000000,5.31015,5.55487,5.03705,5.55487,3252.180451176,0
LAB,D,20140624,000000,5.55487,6.45868,5.16877,5.46059,3303.94736847,0
LAB,D,20140625,000000,6.11977,6.48695,5.9315,6.48695,361.353383464,0
LAB,D,20140626,000000,6.11977,6.11977,6.01613,6.11977,1116.5413534,0
LAB,D,20140627,000000,6.15741,6.15741,6.15741,6.15741,5.07518797,0
LAB,D,20140630,000000,6.15741,6.37395,5.55487,6.37395,3753.609022612,0
LAB,D,20140701,000000,5.9785,7.17422,5.9785,7.17422,708.4962406120001,0
LAB,D,20140702,000000,7.17422,7.17422,6.77876,6.77876,87.29323308400001,0
LAB,D,20140703,000000,6.68468,8.00276,6.68468,7.72021,536.954887226,0
LAB,D,20140704,000000,8.19103,9.41443,8.19103,9.41443,43.646616542000004,0
LAB,D,20140707,000000,11.2991,11.2991,9.88535,9.88535,251.72932331200002,0
LAB,D,20140708,000000,9.61147,10.3474,8.77475,9.40556,689.210526326,0
LAB,D,20140709,000000,9.41443,9.88535,9.41443,9.88535,80.18796992600001,0
LAB,D,20140714,000000,9.27315,9.97993,8.90667,9.97993,410.075187976,0
LAB,D,20140715,000000,9.41443,9.41443,9.41443,9.41443,5.07518797,0
LAB,D,20140716,000000,9.41443,10.0745,9.13237,10.0745,363.383458652,0
LAB,D,20140721,000000,10.0745,10.0745,8.9442,10.0745,126.87969925,0
LAB,D,20140722,000000,10.0745,10.0745,10.0745,10.0745,1.015037594,0
LAB,D,20140724,000000,9.08548,9.91392,8.75593,9.91392,179.66165413800002,0
LAB,D,20140728,000000,9.0571,10.0745,9.0571,10.0745,392.81954887800003,0
LAB,D,20140729,000000,10.0745,10.0745,10.0745,10.0745,5.07518797,0
LAB,D,20140801,000000,10.0745,10.0745,9.41443,9.41443,276.090225568,0
LAB,D,20140804,000000,9.7159,9.7159,9.7159,9.7159,8.120300752,0
LAB,D,20140808,000000,9.32084,9.7159,9.03838,9.7159,169.511278198,0
LAB,D,20140814,000000,9.22646,11.2035,9.22646,11.2035,1127.7067669340001,0
LAB,D,20140818,000000,11.1089,13.1818,11.1089,13.1818,783.609022568,0
LAB,D,20140819,000000,12.9926,12.9926,11.9286,11.9286,139.060150378,0
LAB,D,20140821,000000,11.2035,11.2991,11.2035,11.2991,121.80451128,0
LAB,D,20140822,000000,11.2991,11.2991,10.3553,11.2991,916.578947382,0
LAB,D,20140825,000000,10.704,11.0252,10.704,11.0252,6.090225564000001,0
LAB,D,20140826,000000,10.5454,11.0252,10.3553,11.0252,14.210526316000001,0
LAB,D,20140828,000000,10.2617,11.0252,10.2617,11.0252,148.195488724,0
LAB,D,20140902,000000,10.4696,11.7217,10.4696,11.7217,174.58646616800002,0
LAB,D,20140903,000000,10.9306,12.9926,10.9306,12.9926,444.58646617200003,0
LAB,D,20140904,000000,12.8517,12.8517,12.6163,12.6163,58.872180452,0
LAB,D,20140905,000000,12.4744,12.4744,12.4744,12.4744,3.0451127820000004,0
LAB,D,20140908,000000,12.4744,13.1818,11.2991,13.1818,611.052631588,0
LAB,D,20140909,000000,13.1818,15.629,11.2991,15.629,953.120300766,0
LAB,D,20140910,000000,14.5935,14.5935,14.5935,14.5935,2.030075188,0
LAB,D,20140911,000000,13.4163,13.4163,13.4163,13.4163,112.669172934,0
LAB,D,20140912,000000,13.4635,15.3462,13.4635,15.3462,116.72932331,0
LAB,D,20140915,000000,13.369,14.2645,13.369,14.2645,169.511278198,0
LAB,D,20140916,000000,12.2399,15.0546,12.2399,15.0546,805.9398496360001,0
LAB,D,20140917,000000,15.0546,15.0546,15.0546,15.0546,139.060150378,0
LAB,D,20140918,000000,14.8753,14.8753,14.8753,14.8753,10.15037594,0
LAB,D,20140919,000000,14.8753,14.8753,14.8753,14.8753,5.07518797,0
LAB,D,20140922,000000,14.8753,14.8753,14.8753,14.8753,5.07518797,0
LAB,D,20140923,000000,14.8753,14.8753,14.8753,14.8753,5.07518797,0
LAB,D,20140924,000000,14.8753,14.8753,14.8753,14.8753,2.030075188,0
LAB,D,20140925,000000,14.8753,14.8753,14.8753,14.8753,2.030075188,0
LAB,D,20140926,000000,14.8753,14.8753,14.8753,14.8753,1.015037594,0
LAB,D,20140929,000000,14.8753,14.8753,14.499,14.8753,37.556390978,0
LAB,D,20140930,000000,14.8753,14.8753,14.8753,14.8753,1.015037594,0
LAB,D,20141001,000000,14.8753,14.8753,14.8753,14.8753,1.015037594,0
LAB,D,20141002,000000,14.8753,14.8753,14.499,14.499,2.030075188,0
LAB,D,20141003,000000,14.4891,14.4891,14.4891,14.4891,1.015037594,0
LAB,D,20141006,000000,14.4891,14.4891,14.3108,14.3108,11.165413534,0
LAB,D,20141007,000000,14.3108,14.3108,14.1226,14.1226,11.165413534,0
LAB,D,20141008,000000,14.3108,14.3108,14.3108,14.3108,1.015037594,0
LAB,D,20141013,000000,13.8862,13.8862,13.8399,13.8399,2.030075188,0
LAB,D,20141014,000000,13.8862,13.8862,13.8862,13.8862,1.015037594,0
LAB,D,20141015,000000,13.8862,13.8862,12.2399,12.2399,275.075187974,0
LAB,D,20141016,000000,12.1444,13.0399,12.1444,13.0399,139.060150378,0
LAB,D,20141017,000000,12.4281,13.7453,12.4281,13.7453,126.87969925,0
LAB,D,20141020,000000,13.0862,14.4891,13.0862,14.4891,169.511278198,0
LAB,D,20141022,000000,13.9345,13.9345,13.0862,13.9345,144.135338348,0
LAB,D,20141030,000000,13.2754,14.4891,13.1818,14.4891,561.315789482,0
LAB,D,20141031,000000,14.3108,14.3108,13.2754,14.3108,403.984962412,0
LAB,D,20141106,000000,13.9256,13.9345,13.9256,13.9345,132.969924814,0
LAB,D,20141107,000000,13.3227,14.0763,13.3227,14.0763,425.300751886,0
LAB,D,20141110,000000,14.0763,14.0763,14.0763,14.0763,1.015037594,0
LAB,D,20141112,000000,14.0763,14.0763,14.0763,14.0763,30.45112782,0
LAB,D,20141113,000000,14.0763,14.0763,14.0763,14.0763,107.593984964,0
LAB,D,20141114,000000,14.0763,14.0763,14.0763,14.0763,2.030075188,0
LAB,D,20141117,000000,13.1818,14.3108,13.1818,14.2645,514.624060158,0
LAB,D,20141128,000000,13.4635,13.962,13.0961,13.962,258.83458647000003,0
LAB,D,20141203,000000,13.962,13.962,13.0862,13.962,130.939849626,0
LAB,D,20141205,000000,13.962,13.962,13.962,13.962,2.030075188,0
LAB,D,20141209,000000,13.6517,13.6517,13.6517,13.6517,2.030075188,0
LAB,D,20141210,000000,13.6517,13.6517,13.6517,13.6517,2.030075188,0
LAB,D,20141211,000000,13.6517,13.6517,13.6517,13.6517,2.030075188,0
LAB,D,20141212,000000,13.6517,13.6517,13.6517,13.6517,2.030075188,0
LAB,D,20141215,000000,13.6517,13.6517,13.6517,13.6517,2.030075188,0
LAB,D,20141216,000000,13.6517,14.3009,13.1719,14.3009,367.443609028,0
LAB,D,20141217,000000,14.1226,14.1226,14.1226,14.1226,2.030075188,0
LAB,D,20141218,000000,14.1226,14.1226,14.1226,14.1226,2.030075188,0
LAB,D,20141219,000000,14.1226,14.1226,13.3227,14.1226,129.924812032,0
LAB,D,20141222,000000,14.1226,14.1226,14.1226,14.1226,2.030075188,0
LAB,D,20141223,000000,14.1226,14.1226,14.1226,14.1226,2.030075188,0
LAB,D,20141229,000000,14.1226,14.1226,14.1226,14.1226,2.030075188,0
LAB,D,20141230,000000,14.1226,14.1226,13.6517,13.6517,113.68421052800001,0
LAB,D,20150102,000000,13.6517,13.6517,13.6517,13.6517,5.07518797,0
LAB,D,20150105,000000,13.6517,13.6517,13.6517,13.6517,2.030075188,0
LAB,D,20150107,000000,13.6517,13.6517,13.6517,13.6517,2.030075188,0
LAB,D,20150108,000000,13.6517,13.6517,13.6517,13.6517,2.030075188,0
LAB,D,20150109,000000,13.6517,13.6517,13.6517,13.6517,2.030075188,0
