<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPP,D,20010516,000000,39.1146,39.1146,35.9633,38.7912,4242.4351379456,0
LPP,D,20010517,000000,37.5795,38.7111,37.1759,38.7111,2596.6271706127,0
LPP,D,20010518,000000,37.2561,37.9831,37.2561,37.9831,12.4290091932,0
LPP,D,20010524,000000,38.7912,38.7912,38.7912,38.7912,5.1787538305,0
LPP,D,20010525,000000,39.1146,39.1146,39.1146,39.1146,296.2247191046,0
LPP,D,20010529,000000,39.0345,39.0345,39.0345,39.0345,246.5086823318,0
LPP,D,20010530,000000,38.8713,38.8713,38.8713,38.8713,246.5086823318,0
LPP,D,20010531,000000,38.8713,38.8713,38.8713,38.8713,123.2543411659,0
LPP,D,20010601,000000,38.4687,38.4687,38.4687,38.4687,246.5086823318,0
LPP,D,20010604,000000,38.3886,38.3886,37.9831,37.9831,2104.6455567152,0
LPP,D,20010605,000000,38.8713,38.8713,37.9831,37.9831,421.55056180270003,0
LPP,D,20010606,000000,38.7912,38.8713,37.9831,38.8713,304.5107252334,0
LPP,D,20010607,000000,38.8713,38.8713,38.8713,38.8713,495.08886619580005,0
LPP,D,20010608,000000,39.0345,39.0345,39.0345,39.0345,123.2543411659,0
LPP,D,20010611,000000,39.0345,39.0345,39.0345,39.0345,60.0735444338,0
LPP,D,20010612,000000,37.5795,39.1146,37.5795,39.1146,307.61797753170003,0
LPP,D,20010615,000000,38.9534,39.1967,38.7912,39.1967,3919.2808989224004,0
LPP,D,20010618,000000,39.1967,39.1967,39.1967,39.1967,185.3993871319,0
LPP,D,20010621,000000,38.3886,38.3886,38.3886,38.3886,246.5086823318,0
LPP,D,20010622,000000,38.7912,38.7912,38.7912,38.7912,433.9795709959,0
LPP,D,20010625,000000,38.8713,38.8713,38.7912,38.7912,246.5086823318,0
LPP,D,20010626,000000,38.7912,38.7912,38.3886,38.3886,470.2308478094,0
LPP,D,20010628,000000,39.6012,39.6012,38.7912,39.1146,742.6332992937,0
LPP,D,20010629,000000,39.6012,39.6012,39.6012,39.6012,854.4943820325001,0
LPP,D,20010702,000000,38.8713,38.8713,38.8713,38.8713,474.37385087380005,0
LPP,D,20010703,000000,39.1146,39.5192,39.1146,39.1146,827.5648621139001,0
LPP,D,20010704,000000,39.1967,39.357,39.1967,39.2759,865.8876404596,0
LPP,D,20010705,000000,39.1967,39.1967,39.1967,39.1967,436.0510725281,0
LPP,D,20010706,000000,39.4381,39.6012,39.4381,39.6012,532.3758937754001,0
LPP,D,20010709,000000,39.6804,39.6804,39.6804,39.6804,371.8345250299,0
