<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPN,D,20070912,000000,7.2138,7.8698,6.9339,6.9339,542553,0
OPN,D,20070913,000000,6.9078,7.1702,6.9078,7.1702,79798,0
OPN,D,20070914,000000,7.1702,7.1702,6.9516,6.9691,28003,0
OPN,D,20070917,000000,7.0477,7.1264,6.8989,6.9516,19653,0
OPN,D,20070918,000000,6.8204,7.039,6.7327,6.9954,14243,0
OPN,D,20070919,000000,7.1614,7.345,6.9603,7.345,69815,0
OPN,D,20070920,000000,7.3799,7.3799,7.0477,7.2575,73138,0
OPN,D,20070921,000000,7.1702,7.2138,7.0739,7.0739,11713,0
OPN,D,20070924,000000,7.2838,7.2838,7.1264,7.1702,8456,0
OPN,D,20070925,000000,7.1789,7.1789,6.9954,7.1264,20271,0
OPN,D,20070926,000000,7.109,7.2575,7.109,7.2575,82765,0
OPN,D,20070927,000000,7.2575,7.8698,7.2138,7.6947,169801,0
OPN,D,20070928,000000,7.6074,7.6074,7.3013,7.5198,73149,0
OPN,D,20071001,000000,7.5987,7.6772,7.2925,7.5024,31585,0
OPN,D,20071002,000000,7.5024,7.8698,7.415,7.5286,41427,0
OPN,D,20071003,000000,7.6509,7.6509,7.1439,7.3799,31640,0
OPN,D,20071004,000000,7.3799,7.3888,7.0913,7.3188,24879,0
OPN,D,20071005,000000,7.3013,7.5198,7.2575,7.5198,13707,0
OPN,D,20071008,000000,7.4325,7.59,7.4325,7.5198,14723,0
OPN,D,20071009,000000,7.5549,7.5549,7.4849,7.5198,8390,0
OPN,D,20071010,000000,7.4412,7.4586,7.3538,7.4061,6743,0
OPN,D,20071011,000000,7.5111,7.5198,7.415,7.5198,3140,0
OPN,D,20071012,000000,7.5372,7.6074,7.4325,7.5987,5598,0
OPN,D,20071015,000000,7.6687,7.6859,7.5723,7.6687,15644,0
OPN,D,20071016,000000,7.5811,7.6687,7.5286,7.5987,8936,0
OPN,D,20071017,000000,7.6074,7.6772,7.4325,7.6772,9145,0
OPN,D,20071018,000000,7.6772,7.6947,7.5549,7.6687,6017,0
OPN,D,20071019,000000,7.616,7.7385,7.5198,7.7385,6163,0
OPN,D,20071022,000000,7.7212,7.7212,7.4498,7.6597,12006,0
OPN,D,20071023,000000,7.6597,7.6947,7.4325,7.6947,20137,0
OPN,D,20071024,000000,7.6597,7.6597,7.4762,7.5549,9292,0
OPN,D,20071025,000000,7.5198,7.6947,7.5198,7.6687,9364,0
OPN,D,20071026,000000,7.4412,7.7734,7.4412,7.7734,27331,0
OPN,D,20071029,000000,7.7734,7.9571,7.6074,7.9485,23186,0
OPN,D,20071030,000000,8.0272,8.6128,8.0272,8.3506,47545,0
OPN,D,20071031,000000,8.604,8.656,8.4205,8.4818,16235,0
OPN,D,20071102,000000,8.473,9.2516,8.1407,8.9185,28881,0
OPN,D,20071105,000000,9.1708,9.1802,7.8698,7.9658,73100,0
OPN,D,20071106,000000,8.2195,8.2195,7.9658,8.1058,4201,0
OPN,D,20071107,000000,8.3069,8.3069,7.7997,7.9571,15199,0
OPN,D,20071108,000000,7.852,8.3769,7.4762,7.852,37058,0
OPN,D,20071109,000000,8.2892,8.2892,7.4935,7.7734,21272,0
OPN,D,20071112,000000,8.1233,8.2106,7.5198,7.8434,11075,0
OPN,D,20071113,000000,7.9571,7.9571,7.5372,7.8698,303,0
OPN,D,20071114,000000,8.3769,8.3769,7.9571,7.9571,38463,0
OPN,D,20071115,000000,8.1145,8.1145,7.4325,7.6947,36717,0
OPN,D,20071116,000000,7.5462,8.1318,7.5462,8.1318,10651,0
OPN,D,20071119,000000,8.237,8.237,7.6947,7.6947,12343,0
OPN,D,20071120,000000,7.6947,7.8609,7.5198,7.8609,4430,0
OPN,D,20071121,000000,7.7909,7.7909,7.345,7.5198,15774,0
OPN,D,20071122,000000,7.6772,7.7823,7.4325,7.7823,7783,0
OPN,D,20071123,000000,7.6947,7.9485,7.6947,7.9485,3352,0
OPN,D,20071126,000000,8.0882,8.1757,7.7823,7.9396,9763,0
OPN,D,20071127,000000,8.0882,8.0882,7.6947,7.8698,5572,0
OPN,D,20071128,000000,7.6947,7.9396,7.6947,7.8698,1452,0
OPN,D,20071129,000000,7.8698,7.9135,7.8698,7.8698,12265,0
OPN,D,20071130,000000,8.0272,8.5254,8.0272,8.5254,11981,0
OPN,D,20071203,000000,8.4818,8.4818,8.3069,8.4818,2114,0
OPN,D,20071204,000000,8.473,8.473,8.4643,8.4643,482,0
OPN,D,20071205,000000,8.5603,9.094,8.4555,8.7445,2263,0
OPN,D,20071206,000000,8.7179,8.7445,8.6478,8.7445,14636,0
OPN,D,20071207,000000,8.7352,8.7445,8.5779,8.7445,6442,0
OPN,D,20071210,000000,8.7445,8.9891,8.4818,8.6995,15504,0
OPN,D,20071211,000000,8.6912,8.6912,8.6821,8.6821,3153,0
OPN,D,20071212,000000,8.5081,8.5081,8.053,8.3419,17212,0
OPN,D,20071213,000000,8.3769,8.3769,7.8698,8.0795,8106,0
OPN,D,20071214,000000,7.8698,7.8698,7.5286,7.7123,24076,0
OPN,D,20071217,000000,7.7123,7.7123,7.0565,7.4935,29925,0
OPN,D,20071218,000000,7.3361,7.3361,6.9954,7.109,42050,0
OPN,D,20071219,000000,7.109,7.1702,6.6017,7.1702,78604,0
OPN,D,20071220,000000,7.2925,7.4935,7.1789,7.4935,12093,0
OPN,D,20071221,000000,7.4676,7.6772,7.2575,7.4325,28401,0
OPN,D,20071227,000000,7.4325,7.4325,7.4325,7.4325,1899,0
OPN,D,20071228,000000,7.3275,7.4325,7.3275,7.4325,59772,0
OPN,D,20080102,000000,7.4325,7.6859,7.4325,7.6074,4103,0
OPN,D,20080103,000000,7.4498,7.6074,7.2575,7.6074,10710,0
OPN,D,20080104,000000,7.6074,7.6074,7.2575,7.345,5442,0
OPN,D,20080107,000000,7.345,7.4676,6.829,7.3361,4355,0
OPN,D,20080108,000000,7.3188,7.4762,7.0217,7.4762,8748,0
OPN,D,20080109,000000,7.1789,7.4325,7.1702,7.415,9775,0
OPN,D,20080110,000000,7.345,7.345,7.0913,7.3275,7249,0
OPN,D,20080111,000000,7.3013,7.6074,7.3013,7.6074,6085,0
OPN,D,20080114,000000,7.5987,7.6074,7.0827,7.2049,11036,0
OPN,D,20080115,000000,7.0127,7.1876,6.9954,7.1876,5431,0
OPN,D,20080116,000000,7.1702,7.1702,6.558,6.6893,15248,0
OPN,D,20080117,000000,6.9865,6.9865,6.7066,6.8989,913,0
OPN,D,20080118,000000,6.864,6.864,6.558,6.7327,36856,0
OPN,D,20080121,000000,6.5929,6.864,6.558,6.6017,10816,0
OPN,D,20080122,000000,6.7241,6.9339,6.1296,6.8204,26832,0
OPN,D,20080123,000000,7.1349,7.1349,6.7591,6.7765,21135,0
OPN,D,20080124,000000,6.8989,7.8698,6.864,7.8698,56005,0
