<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPL,D,19930622,000000,5.25252,5.25252,5.25252,5.25252,1170144.0330348948,0
SPL,D,19930624,000000,4.79648,4.79648,4.79648,4.79648,1037254.6265865339,0
SPL,D,19930628,000000,4.79648,4.79648,4.79648,4.79648,493162.18947216345,0
SPL,D,19930629,000000,5.07592,5.07592,5.07592,5.07592,399597.62186081905,0
SPL,D,19930701,000000,5.25252,5.25252,5.25252,5.25252,646698.4748516248,0
SPL,D,19930705,000000,5.49534,5.49534,5.49534,5.49534,419169.62657806824,0
SPL,D,19930706,000000,5.52484,5.52484,5.52484,5.52484,292880.99843168445,0
SPL,D,19930708,000000,4.97298,4.97298,4.97298,4.97298,317938.49843202764,0
SPL,D,19930712,000000,5.07592,5.07592,5.07592,5.07592,149770.184750479,0
SPL,D,19930713,000000,5.0391,5.0391,5.0391,5.0391,191258.91509695922,0
SPL,D,19930715,000000,4.97298,4.97298,4.97298,4.97298,346475.19654562604,0
SPL,D,19930719,000000,4.97298,4.97298,4.97298,4.97298,295519.69340027403,0
SPL,D,19930720,000000,4.89943,4.89943,4.89943,4.89943,361853.77752067946,0
SPL,D,19930722,000000,5.0097,5.0097,5.0097,5.0097,418428.125005731,0
SPL,D,19930726,000000,5.0097,5.0097,5.0097,5.0097,271536.0573936562,0
SPL,D,19930727,000000,4.93605,4.93605,4.93605,4.93605,207381.0180846014,0
SPL,D,19930729,000000,5.0097,5.0097,5.0097,5.0097,272836.21069556085,0
SPL,D,19930802,000000,5.07592,5.07592,5.07592,5.07592,220216.87500301623,0
SPL,D,19930803,000000,5.07592,5.07592,5.07592,5.07592,234483.2036195638,0
SPL,D,19930805,000000,5.0391,5.0391,5.0391,5.0391,243475.17295930962,0
SPL,D,19930809,000000,5.52484,5.52484,5.52484,5.52484,634639.4772099502,0
SPL,D,19930810,000000,6.08382,6.08382,6.08382,6.08382,0,0
SPL,D,19930812,000000,6.70923,6.70923,6.70923,6.70923,0,0
SPL,D,19930816,000000,7.33444,7.33444,7.33444,7.33444,775809.6580294939,0
SPL,D,19930817,000000,8.07062,8.07062,8.07062,8.07062,977871.8671517583,0
SPL,D,19930819,000000,8.83501,8.83501,8.83501,8.83501,662447.8066128469,0
SPL,D,19930823,000000,9.62958,9.62958,9.62958,9.62958,0,0
SPL,D,19930824,000000,10.5353,10.5353,10.5353,10.5353,284270.89229949104,0
SPL,D,19930826,000000,11.6173,11.6173,11.6173,11.6173,589866.5212344943,0
SPL,D,19930830,000000,10.468,10.468,10.468,10.468,572173.525951233,0
SPL,D,19930831,000000,9.46031,9.46031,9.46031,9.46031,657589.6580278747,0
SPL,D,19930902,000000,10.3284,10.3284,10.3284,10.3284,402950.54245834926,0
SPL,D,19930906,000000,11.2995,11.2995,11.2995,11.2995,904973.3726539045,0
SPL,D,19930907,000000,10.1522,10.1522,10.1522,10.1522,851563.0346028585,0
SPL,D,19930909,000000,9.73352,9.73352,9.73352,9.73352,394540.45991106424,0
SPL,D,19930913,000000,9.62958,9.62958,9.62958,9.62958,229842.25236163862,0
SPL,D,19930914,000000,9.73352,9.73352,9.73352,9.73352,252121.6470160318,0
SPL,D,19930916,000000,10.0483,10.0483,10.0483,10.0483,413607.35456541344,0
SPL,D,19930920,000000,9.0408,9.0408,9.0408,9.0408,316069.59119929763,0
SPL,D,19930921,000000,8.13615,8.13615,8.13615,8.13615,260320.59355702464,0
SPL,D,19930923,000000,7.33444,7.33444,7.33444,7.33444,316224.154878545,0
SPL,D,19930927,000000,6.74586,6.74586,6.74586,6.74586,504559.492931439,0
SPL,D,19930928,000000,7.40799,7.40799,7.40799,7.40799,0,0
SPL,D,19930930,000000,8.07062,8.07062,8.07062,8.07062,342116.096702799,0
SPL,D,19931004,000000,8.83501,8.83501,8.83501,8.83501,774126.6312999111,0
SPL,D,19931005,000000,9.24759,9.24759,9.24759,9.24759,739028.5534692417,0
SPL,D,19931007,000000,9.24759,9.24759,9.24759,9.24759,788802.0990674077,0
SPL,D,19931011,000000,9.80677,9.80677,9.80677,9.80677,751999.7798845137,0
SPL,D,19931012,000000,10.3958,10.3958,10.3958,10.3958,667354.4457638575,0
SPL,D,19931014,000000,10.3958,10.3958,10.3958,10.3958,567799.2728065191,0
SPL,D,19931018,000000,11.2322,11.2322,11.2322,11.2322,1197602.8262742646,0
SPL,D,19931019,000000,10.8135,10.8135,10.8135,10.8135,430227.49607507506,0
SPL,D,19931021,000000,10.2255,10.2255,10.2255,10.2255,581647.3702909854,0
SPL,D,19931026,000000,9.80677,9.80677,9.80677,9.80677,439005.2987481512,0
SPL,D,19931028,000000,10.3958,10.3958,10.3958,10.3958,571930.0629009153,0
SPL,D,19931102,000000,10.3958,10.3958,10.3958,10.3958,341916.0731178906,0
SPL,D,19931104,000000,10.468,10.468,10.468,10.468,666896.8160468701,0
SPL,D,19931108,000000,10.0483,10.0483,10.0483,10.0483,374827.024376203,0
SPL,D,19931109,000000,9.80677,9.80677,9.80677,9.80677,487801.96148466866,0
SPL,D,19931110,000000,10.3958,10.3958,10.3958,10.3958,309211.20676524146,0
SPL,D,19931115,000000,10.7402,10.7402,10.7402,10.7402,544810.7036238143,0
SPL,D,19931116,000000,10.6383,10.6383,10.6383,10.6383,401779.69733254705,0
SPL,D,19931118,000000,9.56425,9.56425,9.56425,9.56425,532167.7987494272,0
SPL,D,19931122,000000,9.56425,9.56425,9.56425,9.56425,392974.6187160742,0
SPL,D,19931123,000000,10.1522,10.1522,10.1522,10.1522,219457.1894684146,0
SPL,D,19931125,000000,10.2255,10.2255,10.2255,10.2255,339670.35377823724,0
SPL,D,19931129,000000,10.2255,10.2255,10.2255,10.2255,435386.69025753567,0
SPL,D,19931130,000000,10.3284,10.3284,10.3284,10.3284,270282.3742175384,0
SPL,D,19931202,000000,10.468,10.468,10.468,10.468,526286.2971770196,0
SPL,D,19931206,000000,11.542,11.542,11.542,11.542,864916.1242256829,0
SPL,D,19931207,000000,11.9608,11.9608,11.9608,11.9608,710760.5739091061,0
SPL,D,19931209,000000,11.8885,11.8885,11.8885,11.8885,490438.6360130066,0
SPL,D,19931213,000000,12.2399,12.2399,12.2399,12.2399,508219.52044721245,0
SPL,D,19931214,000000,12.2399,12.2399,12.2399,12.2399,359713.1210741092,0
SPL,D,19931216,000000,12.5497,12.5497,12.5497,12.5497,446936.53695580707,0
SPL,D,19931220,000000,13.4545,13.4545,13.4545,13.4545,640512.8970213515,0
SPL,D,19931221,000000,13.7356,13.7356,13.7356,13.7356,462353.50629564084,0
SPL,D,19931223,000000,14.2573,14.2573,14.2573,14.2573,722236.6745381941,0
SPL,D,19931227,000000,14.9482,14.9482,14.9482,14.9482,658921.1281536791,0
SPL,D,19931228,000000,13.4545,13.4545,13.4545,13.4545,563258.3333410481,0
SPL,D,19931230,000000,14.8077,14.8077,14.8077,14.8077,757728.7382179254,0
SPL,D,19940103,000000,15.7134,15.7134,15.7134,15.7134,587092.4567690474,0
SPL,D,19940104,000000,16.339,16.339,16.339,16.339,937323.6517423979,0
SPL,D,19940106,000000,16.4113,16.4113,16.4113,16.4113,864959.5636910923,0
SPL,D,19940110,000000,17.0379,17.0379,17.0379,17.0379,713404.3199783247,0
SPL,D,19940111,000000,18.4287,18.4287,18.4287,18.4287,668921.2971789732,0
SPL,D,19940113,000000,20.2372,20.2372,20.2372,20.2372,743862.4567711947,0
SPL,D,19940117,000000,22.1803,22.1803,22.1803,22.1803,655554.0644743877,0
SPL,D,19940118,000000,24.4095,24.4095,24.4095,24.4095,605679.4968636417,0
SPL,D,19940120,000000,26.7704,26.7704,26.7704,26.7704,1123373.8718707324,0
SPL,D,19940124,000000,26.219,26.219,26.219,26.219,611024.5715492495,0
SPL,D,19940125,000000,26.909,26.909,26.909,26.909,583279.8860142783,0
SPL,D,19940127,000000,29.6262,29.6262,29.6262,29.6262,1247371.3207718018,0
SPL,D,19940131,000000,26.6298,26.6298,26.6298,26.6298,699074.3474938517,0
SPL,D,19940201,000000,24.0631,24.0631,24.0631,24.0631,0,0
SPL,D,19940203,000000,21.6943,21.6943,21.6943,21.6943,1324588.5063074506,0
SPL,D,19940207,000000,23.8502,23.8502,23.8502,23.8502,678271.894663378,0
SPL,D,19940208,000000,25.4548,25.4548,25.4548,25.4548,635192.0676187628,0
SPL,D,19940210,000000,24.8936,24.8936,24.8936,24.8936,423536.80818190164,0
SPL,D,19940214,000000,25.4548,25.4548,25.4548,25.4548,432659.09591787565,0
SPL,D,19940215,000000,26.5645,26.5645,26.5645,26.5645,341448.34119964525,0
SPL,D,19940217,000000,26.909,26.909,26.909,26.909,484135.8726481404,0
SPL,D,19940221,000000,26.7704,26.7704,26.7704,26.7704,381487.4056656024,0
SPL,D,19940222,000000,25.5934,25.5934,25.5934,25.5934,245963.34512915503,0
SPL,D,19940224,000000,26.909,26.909,26.909,26.909,658252.3624303995,0
