<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZAP,D,20051019,000000,26.5132,26.5132,25.0813,25.2296,1127413.4883414917,0
ZAP,D,20051020,000000,25.4268,25.7724,24.5883,24.9329,369333.02324578917,0
ZAP,D,20051021,000000,24.9329,24.9329,24.5386,24.8343,179896.7441811636,0
ZAP,D,20051024,000000,24.6869,25.1799,24.5883,24.7358,231314.728675892,0
ZAP,D,20051025,000000,24.6869,25.6747,24.6869,25.6747,148937.209298283,0
ZAP,D,20051026,000000,25.8719,25.9695,25.2794,25.8719,182710.852708219,0
ZAP,D,20051027,000000,25.4268,25.6747,25.1799,25.6747,38148.372091987796,0
ZAP,D,20051028,000000,25.378,25.4268,25.2296,25.3292,64561.705424604195,0
ZAP,D,20051031,000000,25.1799,25.5263,25.1799,25.378,11411.627906667,0
ZAP,D,20051102,000000,25.4268,25.5752,25.1799,25.378,22269.767441256,0
ZAP,D,20051103,000000,25.4268,25.4268,24.9827,25.0325,71814.5736414616,0
ZAP,D,20051104,000000,24.9827,24.9827,23.9958,24.193,90498.6046487064,0
ZAP,D,20051107,000000,24.193,24.193,22.9086,23.6982,123488.6821671908,0
ZAP,D,20051108,000000,23.4522,23.8973,23.4522,23.6982,78343.5658893464,0
ZAP,D,20051109,000000,23.8973,24.5386,23.8973,24.5386,114648.062012392,0
ZAP,D,20051110,000000,24.6869,24.7846,24.3911,24.6869,122062.6356556016,0
ZAP,D,20051114,000000,24.6869,25.2794,24.6869,25.2794,44919.379843742,0
ZAP,D,20051115,000000,25.1799,25.5263,25.0813,25.5263,65368.0620137296,0
ZAP,D,20051116,000000,25.2794,25.9207,25.2296,25.8719,99347.9069740476,0
ZAP,D,20051117,000000,25.9207,26.6625,25.8719,26.4155,91836.74418355379,0
ZAP,D,20051118,000000,26.4634,26.7113,26.2174,26.6625,76509.4573622644,0
ZAP,D,20051121,000000,26.6625,26.6625,26.1686,26.3658,34633.1782936336,0
ZAP,D,20051122,000000,26.4634,26.808,26.2653,26.7113,143057.20929844258,0
ZAP,D,20051123,000000,26.316,26.7113,26.316,26.6127,93626.356586606,0
ZAP,D,20051124,000000,26.316,26.808,26.316,26.7113,97590.85271052939,0
ZAP,D,20051125,000000,26.4155,26.7601,26.4155,26.7601,61006.3565874914,0
ZAP,D,20051128,000000,26.6625,26.808,26.5629,26.7601,49171.472866882395,0
ZAP,D,20051129,000000,26.7113,27.7977,26.6625,27.6484,137872.868213312,0
ZAP,D,20051130,000000,27.5498,27.8963,27.3029,27.8963,44210.6976732186,0
ZAP,D,20051201,000000,27.6484,28.0934,27.5498,27.5996,21295.193797871598,0
ZAP,D,20051202,000000,27.6484,27.7479,27.501,27.6484,46111.007750686396,0
ZAP,D,20051205,000000,27.5996,27.6484,27.2043,27.6484,53677.519378387995,0
ZAP,D,20051206,000000,27.254,27.6484,27.2043,27.6484,56603.4108511768,0
ZAP,D,20051207,000000,27.4033,27.6484,27.254,27.6484,95366.0465090394,0
ZAP,D,20051208,000000,27.6484,27.6484,27.254,27.453,16054.4186042154,0
ZAP,D,20051209,000000,27.4033,27.4033,27.1066,27.254,62306.5116262158,0
ZAP,D,20051212,000000,27.5498,27.5498,26.9094,27.1545,27351.0077511956,0
ZAP,D,20051213,000000,26.9582,26.9582,26.7113,26.8587,20897.9844955568,0
ZAP,D,20051214,000000,26.6625,26.9094,26.6625,26.9094,33099.6899215822,0
ZAP,D,20051215,000000,26.9094,26.9094,26.6127,26.9094,38799.5348826678,0
ZAP,D,20051216,000000,26.7601,26.9582,26.7113,26.9094,17667.1317824662,0
ZAP,D,20051219,000000,26.9094,26.9094,26.6625,26.6625,25984.6511620854,0
ZAP,D,20051220,000000,26.6625,26.8587,26.6127,26.808,35097.674417652,0
ZAP,D,20051221,000000,26.7113,27.0071,26.7113,27.0071,24726.8217047552,0
ZAP,D,20051222,000000,26.808,27.1545,26.7113,26.9094,40096.4341074388,0
ZAP,D,20051223,000000,27.0071,27.0071,26.7601,27.0071,18850.0775188682,0
ZAP,D,20051227,000000,26.808,26.8587,26.7601,26.8587,46945.5813940746,0
ZAP,D,20051228,000000,26.7601,26.9094,26.7601,26.9094,18651.4728677108,0
ZAP,D,20051229,000000,26.808,26.9094,26.808,26.9094,33596.7441851346,0
ZAP,D,20051230,000000,26.7601,26.9582,26.7113,26.9582,24345.8914722074,0
ZAP,D,20060102,000000,26.808,26.808,26.2653,26.6625,25919.5348830174,0
ZAP,D,20060103,000000,26.6127,26.7113,26.4634,26.6625,107779.37984203579,0
ZAP,D,20060104,000000,26.6625,26.7601,26.6127,26.7113,76186.04650956,0
ZAP,D,20060105,000000,26.6625,26.7601,26.6127,26.7113,57016.899223258595,0
ZAP,D,20060106,000000,26.6127,26.8587,26.6127,26.8587,69563.7209283444,0
ZAP,D,20060109,000000,27.0071,27.0578,26.6625,26.7601,20767.7519374208,0
ZAP,D,20060110,000000,26.6625,26.7601,26.6127,26.7601,26406.8217047096,0
ZAP,D,20060111,000000,26.6625,26.9582,26.6625,26.9094,43063.565890304,0
ZAP,D,20060112,000000,26.8587,27.4033,26.8587,27.4033,67544.0310059186,0
ZAP,D,20060113,000000,27.4033,27.4033,27.0578,27.3526,28581.7054255808,0
ZAP,D,20060116,000000,27.5498,27.5996,27.4033,27.453,21312.5581389564,0
ZAP,D,20060117,000000,27.4033,27.4033,27.1545,27.3029,19511.0077514084,0
ZAP,D,20060118,000000,26.6625,28.9817,26.6625,28.6859,340700.31006827176,0
ZAP,D,20060119,000000,29.2784,30.5619,29.2784,30.3141,497219.22479270556,0
ZAP,D,20060120,000000,30.5619,33.9187,30.5619,33.3751,611517.829440766,0
